,1a. open (SAR),1b. open (USD),2a. high (SAR),2b. high (USD),3a. low (SAR),3b. low (USD),4a. close (SAR),4b. close (USD),5. volume,6. market cap (USD)
2020-12-01,73867.39084800,19695.87000000,74587.95520000,19888.00000000,67511.40044800,18001.12000000,70376.10598400,18764.96000000,127698.76265200,127698.76265200
2020-11-30,68201.02400000,18185.00000000,74494.79526400,19863.16000000,68200.98649600,18184.99000000,73867.39084800,19695.87000000,115463.46688800,115463.46688800
2020-11-29,66456.48793600,17719.84000000,68857.53152000,18360.05000000,65695.75680000,17517.00000000,68200.98649600,18184.99000000,55329.01630300,55329.01630300
2020-11-28,64280.09331200,17139.53000000,67058.98969600,17880.49000000,63252.59622400,16865.56000000,66456.52544000,17719.85000000,64910.69997000,64910.69997000
2020-11-27,64317.37228800,17149.47000000,65473.05804800,17457.62000000,61649.37523200,16438.08000000,64280.05580800,17139.52000000,85297.02478700,85297.02478700
2020-11-26,70203.10003200,18718.83000000,70938.92851200,18915.03000000,60711.47520000,16188.00000000,64317.37228800,17149.47000000,181005.24669300,181005.24669300
2020-11-25,71857.66400000,19160.00000000,73073.58118400,19484.21000000,69383.41260800,18500.27000000,70204.15014400,18719.11000000,93266.57688700,93266.57688700
2020-11-24,68887.38470400,18368.01000000,72828.90508800,19418.97000000,67574.70720000,18018.00000000,71857.70150400,19160.01000000,113581.50924100,113581.50924100
2020-11-23,69059.41555200,18413.88000000,70380.00640000,18766.00000000,67507.20000000,18000.00000000,68887.34720000,18368.00000000,82961.50609300,82961.50609300
2020-11-22,70146.73152000,18703.80000000,70320.00000000,18750.00000000,66047.76934400,17610.86000000,69061.47827200,18414.43000000,81645.73777800,81645.73777800
2020-11-21,69966.18726400,18655.66000000,71129.71136000,18965.90000000,68664.49843200,18308.58000000,70146.73152000,18703.80000000,75577.45839400,75577.45839400
2020-11-20,66767.65862400,17802.81000000,70564.60108800,18815.22000000,66532.24601600,17740.04000000,69966.22476800,18655.67000000,88423.01848900,88423.01848900
2020-11-19,66673.67360000,17777.75000000,68181.52192000,18179.80000000,65015.62176000,17335.65000000,66767.69612800,17802.82000000,93009.56100800,93009.56100800
2020-11-18,66229.73875200,17659.38000000,69295.87827200,18476.93000000,64561.07328000,17214.45000000,66667.56044800,17776.12000000,149019.78813400,149019.78813400
2020-11-17,62680.73523200,16713.08000000,66977.71852800,17858.82000000,62024.11520000,16538.00000000,66229.73875200,17659.38000000,115221.40310200,115221.40310200
2020-11-16,59845.13280000,15957.00000000,63306.75200000,16880.00000000,59496.34560000,15864.00000000,62682.57292800,16713.57000000,81300.67592400,81300.67592400
2020-11-15,60267.27782400,16069.56000000,60681.47200000,16180.00000000,59161.50988800,15774.72000000,59845.13280000,15957.00000000,43596.84151300,43596.84151300
2020-11-14,61206.67801600,16320.04000000,61232.74329600,16326.99000000,58768.76800000,15670.00000000,60270.61568000,16070.45000000,59116.34717900,59116.34717900
2020-11-13,61100.95424000,16291.85000000,61806.59200000,16480.00000000,59827.69344000,15952.35000000,61209.15328000,16320.70000000,75691.88101400,75691.88101400
2020-11-12,58822.21120000,15684.25000000,61284.16128000,16340.70000000,57908.57625600,15440.64000000,61100.99174400,16291.86000000,102196.35659200,102196.35659200
2020-11-11,57370.65638400,15297.21000000,59875.13600000,15965.00000000,57278.65907200,15272.68000000,58822.17369600,15684.24000000,78469.74645800,78469.74645800
2020-11-10,57487.66886400,15328.41000000,57981.18400000,15460.00000000,56527.75398400,15072.46000000,57370.65638400,15297.21000000,61681.91960600,61681.91960600
2020-11-09,58037.81504000,15475.10000000,59406.33600000,15840.00000000,55526.69721600,14805.54000000,57487.66886400,15328.41000000,108976.33413400,108976.33413400
2020-11-08,55574.55232000,14818.30000000,58693.76000000,15650.00000000,55145.43155200,14703.88000000,58037.81504000,15475.10000000,65547.17857400,65547.17857400
2020-11-07,58430.96947200,15579.93000000,59082.00140800,15753.52000000,53796.56268800,14344.22000000,55574.55232000,14818.30000000,101431.20655300,101431.20655300
2020-11-06,58468.81100800,15590.02000000,59856.38400000,15960.00000000,56878.56640000,15166.00000000,58430.93196800,15579.92000000,122618.19769500,122618.19769500
2020-11-05,53045.69510400,14144.01000000,59068.80000000,15750.00000000,52856.48742400,14093.56000000,58468.81100800,15590.02000000,143741.52267300,143741.52267300
2020-11-04,52593.84691200,14023.53000000,53476.95360000,14259.00000000,50724.16000000,13525.00000000,53045.69510400,14144.01000000,93016.98826200,93016.98826200
2020-11-03,50816.53235200,13549.63000000,52753.53894400,14066.11000000,49824.02649600,13284.99000000,52593.84691200,14023.53000000,74115.63078700,74115.63078700
2020-11-02,51611.09209600,13761.49000000,51868.03200000,13830.00000000,49486.71552000,13195.05000000,50815.55724800,13549.37000000,64566.42190800,64566.42190800
2020-11-01,51721.76640000,13791.00000000,52111.80800000,13895.00000000,51016.69120000,13603.00000000,51611.12960000,13761.50000000,36285.64852600,36285.64852600
2020-10-31,50855.79904000,13560.10000000,52880.64000000,14100.00000000,50298.48960000,13411.50000000,51721.76640000,13791.00000000,67339.23851500,67339.23851500
2020-10-30,50464.21977600,13455.69000000,51267.89299200,13669.98000000,49186.49600000,13115.00000000,50855.79904000,13560.10000000,70657.77888100,70657.77888100
2020-10-29,49754.30656000,13266.40000000,51166.36966400,13642.91000000,48458.05580800,12920.77000000,50464.25728000,13455.70000000,74872.60213200,74872.60213200
2020-10-28,51141.05446400,13636.16000000,51978.59379200,13859.48000000,48335.15520000,12888.00000000,49754.30656000,13266.40000000,94440.56122600,94440.56122600
2020-10-27,48950.78336000,13052.15000000,51715.35321600,13789.29000000,48829.72044800,13019.87000000,51141.09196800,13636.17000000,80796.55399600,80796.55399600
2020-10-26,48866.36185600,13029.64000000,49650.83302400,13238.81000000,47873.85600000,12765.00000000,48950.93337600,13052.19000000,60951.67298600,60951.67298600
2020-10-25,49174.23219200,13111.73000000,50067.84000000,13350.00000000,48335.15520000,12888.00000000,48863.32403200,13028.83000000,38481.57950400,38481.57950400
2020-10-24,48466.64422400,12923.06000000,49380.50419200,13166.73000000,48267.64800000,12870.00000000,49174.23219200,13111.73000000,35952.20907000,35952.20907000
2020-10-23,48638.33753600,12968.84000000,48859.04857600,13027.69000000,47705.38803200,12720.08000000,48466.68172800,12923.07000000,50386.99984100,50386.99984100
2020-10-22,47932.92480000,12780.75000000,49449.02400000,13185.00000000,47547.87123200,12678.08000000,48637.13740800,12968.52000000,70038.82414400,70038.82414400
2020-10-21,44667.26400000,11910.00000000,49571.58707200,13217.68000000,44580.81728000,11886.95000000,47933.71238400,12780.96000000,114584.45676700,114584.45676700
2020-10-20,44072.67558400,11751.46000000,45148.74035200,12038.38000000,43795.63353600,11677.59000000,44667.22649600,11909.99000000,62134.75066300,62134.75066300
2020-10-19,43141.37625600,11503.14000000,44344.69209600,11823.99000000,42784.41318400,11407.96000000,44072.71308800,11751.47000000,47414.53469200,47414.53469200
2020-10-18,42605.70662400,11360.31000000,43148.35200000,11505.00000000,42552.86348800,11346.22000000,43141.37625600,11503.14000000,23284.04119100,23284.04119100
2020-10-17,42451.67769600,11319.24000000,42763.63596800,11402.42000000,42210.75200000,11255.00000000,42605.29408000,11360.20000000,22368.91524100,22368.91524100
2020-10-16,43148.83955200,11505.13000000,43283.92896000,11541.15000000,42004.48000000,11200.00000000,42451.97772800,11319.32000000,48797.74950200,48797.74950200
2020-10-15,42821.65465600,11417.89000000,43569.67193600,11617.34000000,42195.11283200,11250.83000000,43148.80204800,11505.12000000,48760.71767900,48760.71767900
2020-10-14,42831.70572800,11420.57000000,43309.54419200,11547.98000000,42304.51200000,11280.00000000,42821.65465600,11417.89000000,41415.10601500,41415.10601500
2020-10-13,43235.51129600,11528.24000000,43343.37280000,11557.00000000,42379.52000000,11300.00000000,42831.66822400,11420.56000000,42205.28370900,42205.28370900
2020-10-12,42638.37260800,11369.02000000,43954.72550400,11720.01000000,41899.46880000,11172.00000000,43235.54880000,11528.25000000,52825.28371000,52825.28371000
2020-10-11,42354.09228800,11293.22000000,42923.32800000,11445.00000000,42083.23840000,11221.00000000,42638.37260800,11369.02000000,29043.85133900,29043.85133900
2020-10-10,41444.32025600,11050.64000000,43095.84640000,11491.00000000,41443.83270400,11050.51000000,42354.09228800,11293.22000000,43648.03694300,43648.03694300
2020-10-09,40974.77017600,10925.44000000,41646.84185600,11104.64000000,40613.08160000,10829.00000000,41444.32025600,11050.64000000,48240.07323700,48240.07323700
2020-10-08,40003.26656000,10666.40000000,41066.88000000,10950.00000000,39493.24966400,10530.41000000,40975.25772800,10925.57000000,51959.69157200,51959.69157200
2020-10-07,39752.92736000,10599.65000000,40061.28524800,10681.87000000,39552.35596800,10546.17000000,40003.22905600,10666.39000000,32811.99027900,32811.99027900
2020-10-06,40475.06688000,10792.20000000,40504.32000000,10800.00000000,39472.96000000,10525.00000000,39752.96486400,10599.66000000,48674.74047100,48674.74047100
2020-10-05,40004.09164800,10666.62000000,40496.81920000,10798.00000000,39812.89625600,10615.64000000,40475.10438400,10792.21000000,34025.76165300,34025.76165300
2020-10-04,39536.97932800,10542.07000000,40117.54124800,10696.87000000,39446.21964800,10517.87000000,40004.12915200,10666.63000000,23212.00159500,23212.00159500
2020-10-03,39643.22816000,10570.40000000,39767.59142400,10603.56000000,39365.92358400,10496.46000000,39536.94182400,10542.06000000,22298.22134100,22298.22134100
2020-10-02,39825.98515200,10619.13000000,39996.66585600,10664.64000000,38906.64960000,10374.00000000,39643.22816000,10570.40000000,50130.39370500,50130.39370500
2020-10-01,40416.52313600,10776.59000000,40954.36800000,10920.00000000,39142.92480000,10437.00000000,39825.98515200,10619.13000000,60866.33289300,60866.33289300
2020-09-30,40656.51123200,10840.58000000,40689.36473600,10849.34000000,39998.50355200,10665.13000000,40416.52313600,10776.59000000,39596.02732200,39596.02732200
2020-09-29,40114.69094400,10696.11000000,40757.62201600,10867.54000000,39888.76684800,10635.87000000,40656.13619200,10840.48000000,41874.89839900,41874.89839900
2020-09-28,40407.78470400,10774.26000000,41066.88000000,10950.00000000,39851.75040000,10626.00000000,40114.72844800,10696.12000000,50095.25173400,50095.25173400
2020-09-27,40236.50393600,10728.59000000,40500.56960000,10799.00000000,39734.81292800,10594.82000000,40407.74720000,10774.25000000,30549.48325300,30549.48325300
2020-09-26,40078.91212800,10686.57000000,40582.85337600,10820.94000000,39921.80787200,10644.68000000,40236.54144000,10728.60000000,28420.83665900,28420.83665900
2020-09-25,40265.53203200,10736.33000000,40356.29171200,10760.53000000,39590.12249600,10556.24000000,40079.28716800,10686.67000000,48101.11700800,48101.11700800
2020-09-24,38409.57158400,10241.46000000,40486.46809600,10795.24000000,38220.06387200,10190.93000000,40265.49452800,10736.32000000,57676.61942700,57676.61942700
